name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date 
K2-279 b,597,1.92 Earths,11.491,2018
K2-27 b,814,30.9 Earths,12.689,2016
K2-280 b,1277,37.1 Earths,12.524,2018
K2-281 b,1494,0.16 Jupiters,15.048,2018
K2-282 b,1619,8.35 Earths,14.21,2018
K2-283 b,1314,12.2 Earths,14.364,2018
K2-284 b,350,8.15 Earths,13.265,2018
K2-285 b,505,9.68 Earths,12.075,2018
K2-285 c,505,15.68 Earths,12.075,2018
K2-285 d,505,6.5 Earths,12.075,2018
K2-285 e,505,10.7 Earths,12.075,2018
K2-286 b,248,5.06 Earths,12.881,2018
K2-287 b,516,0.315 Jupiters,11.41,2018
K2-288 B b,214,4.27 Earths,13.868,2018
K2-289 b,895,0.192 Jupiters,14.81,2019
K2-28 b,205,5.99 Earths,16.526,2016
K2-290 b,890,10.9 Earths,11.114,2019
K2-290 c,890,0.774 Jupiters,11.114,2019
K2-291 b,294,6.49 Earths,10.014,2019
K2-292 b,373,24.5 Earths,9.885,2019
K2-293 b,1280,6.57 Earths,13.44,2019
K2-294 b,1217,3.39 Earths,12.649,2019
K2-295 b,759,0.335 Jupiters,13.8941,2018
K2-29 b,582,0.73 Jupiters,12.532,2016
K2-308 b,4288,0.222 Jupiters,15.072,2019
K2-30 b,1086,0.579 Jupiters,13.547,2016
K2-315 b,186,0.809 Earths,17.67,2020
K2-316 b,367,2.33 Earths,17.14,2020
K2-316 c,367,4.01 Earths,17.14,2020
K2-317 b,575,8.91 Earths,17.74,2020
K2-318 b,482,3.39 Earths,15.8,2020
K2-319 b,682,8.2 Earths,12.213,2020
K2-31 b,361,1.774 Jupiters,10.802,2016
K2-320 b,355,7.37 Earths,17.81,2020
K2-321 b,253,4.46 Earths,13.677,2020
K2-322 b,403,4.35 Earths,13.963,2020
K2-323 b,386,5.06 Earths,14.935,2020
K2-324 b,446,6.48 Earths,15.223,2020
K2-325 b,364,5.48 Earths,17.77,2020
K2-289 b,895,0.192 Jupiters,14.81,2019
K2-28 b,205,5.99 Earths,16.526,2016
K2-290 b,890,10.9 Earths,11.114,2019
K2-290 c,890,0.774 Jupiters,11.114,2019
K2-291 b,294,6.49 Earths,10.014,2019
K2-292 b,373,24.5 Earths,9.885,2019
K2-293 b,1280,6.57 Earths,13.44,2019
K2-294 b,1217,3.39 Earths,12.649,2019
K2-295 b,759,0.335 Jupiters,13.8941,2018
K2-29 b,582,0.73 Jupiters,12.532,2016
K2-308 b,4288,0.222 Jupiters,15.072,2019
K2-30 b,1086,0.579 Jupiters,13.547,2016
K2-315 b,186,0.809 Earths,17.67,2020
K2-316 b,367,2.33 Earths,17.14,2020
K2-316 c,367,4.01 Earths,17.14,2020
K2-317 b,575,8.91 Earths,17.74,2020
K2-318 b,482,3.39 Earths,15.8,2020
K2-319 b,682,8.2 Earths,12.213,2020
K2-31 b,361,1.774 Jupiters,10.802,2016
K2-320 b,355,7.37 Earths,17.81,2020
K2-321 b,253,4.46 Earths,13.677,2020
K2-322 b,403,4.35 Earths,13.963,2020
K2-323 b,386,5.06 Earths,14.935,2020
K2-324 b,446,6.48 Earths,15.223,2020
K2-325 b,364,5.48 Earths,17.77,2020
K2-289 b,895,0.192 Jupiters,14.81,2019
K2-28 b,205,5.99 Earths,16.526,2016
K2-290 b,890,10.9 Earths,11.114,2019
K2-290 c,890,0.774 Jupiters,11.114,2019
K2-291 b,294,6.49 Earths,10.014,2019
K2-292 b,373,24.5 Earths,9.885,2019
K2-293 b,1280,6.57 Earths,13.44,2019
K2-294 b,1217,3.39 Earths,12.649,2019
K2-295 b,759,0.335 Jupiters,13.8941,2018
K2-29 b,582,0.73 Jupiters,12.532,2016
K2-308 b,4288,0.222 Jupiters,15.072,2019
K2-30 b,1086,0.579 Jupiters,13.547,2016
K2-315 b,186,0.809 Earths,17.67,2020
K2-316 b,367,2.33 Earths,17.14,2020
K2-316 c,367,4.01 Earths,17.14,2020
K2-317 b,575,8.91 Earths,17.74,2020
K2-318 b,482,3.39 Earths,15.8,2020
K2-319 b,682,8.2 Earths,12.213,2020
K2-31 b,361,1.774 Jupiters,10.802,2016
K2-320 b,355,7.37 Earths,17.81,2020
K2-321 b,253,4.46 Earths,13.677,2020
K2-322 b,403,4.35 Earths,13.963,2020
K2-323 b,386,5.06 Earths,14.935,2020
K2-324 b,446,6.48 Earths,15.223,2020
K2-325 b,364,5.48 Earths,17.77,2020
K2-368 d,674,4.45 Earths,13.581,2022
K2-369 b,605,2.28 Earths,11.789,2022
K2-36 b,358,3.9 Earths,11.726,2016
K2-36 c,358,7.8 Earths,11.726,2016
K2-370 b,470,10.4 Earths,11.109,2022
K2-371 b,1444,Unknown,14.492,2022
K2-372 b,1513,8.98 Earths,13.589,2022
K2-373 b,749,4.9 Earths,10.47,2022
K2-374 b,1172,3.16 Earths,12.783,2022
K2-374 c,1172,5.53 Earths,12.783,2022
K2-375 b,2271,5.66 Earths,13.164,2022
K2-376 b,527,3.66 Earths,10.415,2022
K2-377 b,637,3.51 Earths,14.107,2022
K2-378 b,2244,8.65 Earths,16.029,2022
K2-379 b,594,5.4 Earths,13.265,2022
K2-37 b,587,3.22 Earths,12.573,2016
K2-37 c,587,8 Earths,12.573,2016
K2-37 d,587,7.9 Earths,12.573,2016
K2-380 b,813,7.89 Earths,11.688,2022
K2-381 b,475,1.26 Earths,12.883,2022
K2-381 c,475,4.66 Earths,12.883,2022
K2-381 d,475,3.5 Earths,12.883,2022
K2-382 b,908,4.95 Earths,12.977,2022
K2-383 b,665,3.07 Earths,12.689,2022
K2-384 b,270,1.26 Earths,16.12,2022
K2-39 b,1003,28.6047 Earths,10.831,2016
K2-3 b,144,6.48 Earths,12.168,2015
K2-3 c,144,2.14 Earths,12.168,2015
K2-3 d,144,2.80007 Earths,12.168,2015
K2-400 b,203,1.67 Earths,15.108,2022
K2-401 b,655,5.74 Earths,14.014,2022
K2-402 b,1706,7.65 Earths,13.032,2022
K2-403 b,804,24.6 Earths,12.305,2022
K2-404 b,397,6.94 Earths,14.622,2022
K2-405 b,643,18.9 Earths,12.816,2022
K2-406 b,278,19.2 Earths,9.465,2022
K2-407 b,712,2.19 Earths,11.969,2022
K2-407 c,712,2.42 Earths,11.969,2022
K2-408 b,529,3.45 Earths,12.056,2022
K2-409 b,1406,6.72 Earths,12.902,2022
K2-42 b,1295,5.27 Earths,15.006,2016
K2-43 b,595,18.5 Earths,15.748,2016
K2-43 c,595,6.44 Earths,15.748,2019
K2-44 b,1555,6.5 Earths,12.27,2016
K2-45 b,1616,36.4 Earths,15.746,2016
K2-46 b,1465,4.86 Earths,12.144,2016
K2-47 b,1141,4.23 Earths,14.065,2016
K2-48 b,1023,5.65 Earths,14.345,2016
K2-49 b,1491,4.38 Earths,15.668,2016
K2-4 b,756,5.06 Earths,14.855,2015
K2-368 d,674,4.45 Earths,13.581,2022
K2-369 b,605,2.28 Earths,11.789,2022
K2-36 b,358,3.9 Earths,11.726,2016
K2-36 c,358,7.8 Earths,11.726,2016
K2-370 b,470,10.4 Earths,11.109,2022
K2-371 b,1444,Unknown,14.492,2022
K2-372 b,1513,8.98 Earths,13.589,2022
K2-373 b,749,4.9 Earths,10.47,2022
K2-374 b,1172,3.16 Earths,12.783,2022
K2-374 c,1172,5.53 Earths,12.783,2022
K2-375 b,2271,5.66 Earths,13.164,2022
K2-376 b,527,3.66 Earths,10.415,2022
K2-377 b,637,3.51 Earths,14.107,2022
K2-378 b,2244,8.65 Earths,16.029,2022
K2-379 b,594,5.4 Earths,13.265,2022
K2-37 b,587,3.22 Earths,12.573,2016
K2-37 c,587,8 Earths,12.573,2016
K2-37 d,587,7.9 Earths,12.573,2016
K2-380 b,813,7.89 Earths,11.688,2022
K2-381 b,475,1.26 Earths,12.883,2022
K2-381 c,475,4.66 Earths,12.883,2022
K2-381 d,475,3.5 Earths,12.883,2022
K2-382 b,908,4.95 Earths,12.977,2022
K2-383 b,665,3.07 Earths,12.689,2022
K2-384 b,270,1.26 Earths,16.12,2022
K2-346 b,344,5.73 Earths,11.903,2016
K2-347 b,1045,6.39 Earths,15.15,2016
K2-348 b,658,10.7 Earths,12.572,2018
K2-348 c,658,7.61 Earths,12.572,2018
K2-349 b,1480,2.48 Earths,14.585,2016
K2-34 b,1137,1.698 Jupiters,11.447,2016
K2-350 b,1596,2.99 Earths,13.449,2021
K2-350 c,1596,7.95 Earths,13.449,2016
K2-351 b,2266,6.99 Earths,14.195,2016
K2-352 b,574,2.45 Earths,11.125,2021
K2-352 c,574,4.35 Earths,11.125,2018
K2-352 d,574,5.6 Earths,11.125,2018
K2-353 b,876,26.3 Earths,12.337,2021
K2-354 b,299,3.05 Earths,15.296,2016
K2-355 b,1633,5.69 Earths,13.707,2021
K2-356 b,1160,5.86 Earths,13.268,2021
K2-357 b,1689,13.4 Earths,13.748,2021
K2-358 b,1567,7.65 Earths,13.699,2021
K2-35 b,824,2.3 Earths,14.166,2016
K2-35 c,824,4.38 Earths,14.166,2016
K2-365 b,611,8.78 Earths,11.372,2022
K2-366 b,607,6.16 Earths,12.636,2022
K2-367 b,577,6.41 Earths,13.794,2022
K2-368 b,674,2.34 Earths,13.581,2022
K2-368 c,674,2.42 Earths,13.581,2022
K2-368 d,674,4.45 Earths,13.581,2022
K2-369 b,605,2.28 Earths,11.789,2022
K2-36 b,358,3.9 Earths,11.726,2016
K2-36 c,358,7.8 Earths,11.726,2016
K2-370 b,470,10.4 Earths,11.109,2022
K2-371 b,1444,Unknown,14.492,2022
K2-372 b,1513,8.98 Earths,13.589,2022
K2-373 b,749,4.9 Earths,10.47,2022
K2-374 b,1172,3.16 Earths,12.783,2022
K2-374 c,1172,5.53 Earths,12.783,2022
K2-375 b,2271,5.66 Earths,13.164,2022
K2-376 b,527,3.66 Earths,10.415,2022
K2-377 b,637,3.51 Earths,14.107,2022
K2-378 b,2244,8.65 Earths,16.029,2022
K2-379 b,594,5.4 Earths,13.265,2022
K2-37 b,587,3.22 Earths,12.573,2016
K2-37 c,587,8 Earths,12.573,2016
K2-37 d,587,7.9 Earths,12.573,2016
K2-380 b,813,7.89 Earths,11.688,2022
K2-381 b,475,1.26 Earths,12.883,2022
K2-381 c,475,4.66 Earths,12.883,2022
K2-381 d,475,3.5 Earths,12.883,2022
K2-382 b,908,4.95 Earths,12.977,2022
K2-383 b,665,3.07 Earths,12.689,2022
K2-384 b,270,1.26 Earths,16.12,2022
K2-384 c,270,1.82 Earths,16.12,2022
K2-384 d,270,2.52 Earths,16.12,2022
K2-384 e,270,2.37 Earths,16.12,2022
K2-384 f,270,5.57 Earths,16.12,2022
K2-385 b,1373,2.98 Earths,14.645,2022
K2-386 b,1399,5.99 Earths,13.241,2022
K2-387 b,869,0.133 Jupiters,16.147,2022
K2-388 b,948,13 Earths,12.861,2022
K2-389 b,846,5.41 Earths,11.827,2022
K2-389 c,846,4.82 Earths,11.827,2022
K2-38 b,629,19.0698 Earths,11.344,2016
K2-38 c,629,9.9 Earths,11.344,2016
K2-390 b,1488,19.6 Earths,13.611,2022
K2-391 b,1657,2.45 Earths,12.527,2022
K2-392 b,1328,4.08 Earths,12.922,2022
K2-393 b,867,6.13 Earths,11.84,2022
K2-394 b,320,3.51 Earths,12.768,2022
K2-395 b,935,7.26 Earths,15.131,2022
K2-395 c,935,11.4 Earths,15.131,2022
K2-396 b,897,3.12 Earths,13.32,2022
K2-396 c,897,9.93 Earths,13.32,2022
K2-397 b,650,6.42 Earths,11.865,2022
K2-398 b,1980,5.79 Earths,13.287,2022
K2-398 c,1980,22.8 Earths,13.287,2022
K2-399 b,1682,30.5 Earths,12.478,2022
K2-39 b,1003,28.6047 Earths,10.831,2016
K2-3 b,144,6.48 Earths,12.168,2015
K2-3 c,144,2.14 Earths,12.168,2015
K2-3 d,144,2.80007 Earths,12.168,2015
K2-400 b,203,1.67 Earths,15.108,2022
K2-401 b,655,5.74 Earths,14.014,2022
K2-402 b,1706,7.65 Earths,13.032,2022
K2-403 b,804,24.6 Earths,12.305,2022
K2-404 b,397,6.94 Earths,14.622,2022
K2-405 b,643,18.9 Earths,12.816,2022
K2-406 b,278,19.2 Earths,9.465,2022
K2-407 b,712,2.19 Earths,11.969,2022
K2-407 c,712,2.42 Earths,11.969,2022
K2-408 b,529,3.45 Earths,12.056,2022
K2-409 b,1406,6.72 Earths,12.902,2022
K2-42 b,1295,5.27 Earths,15.006,2016
K2-43 b,595,18.5 Earths,15.748,2016
K2-43 c,595,6.44 Earths,15.748,2019
K2-44 b,1555,6.5 Earths,12.27,2016
K2-45 b,1616,36.4 Earths,15.746,2016
K2-46 b,1465,4.86 Earths,12.144,2016
K2-47 b,1141,4.23 Earths,14.065,2016
K2-48 b,1023,5.65 Earths,14.345,2016
K2-49 b,1491,4.38 Earths,15.668,2016
K2-4 b,756,5.06 Earths,14.855,2015
K2-50 b,840,3.15 Earths,14.705,2016
K2-52 b,3387,144 Jupiters,15.93,2016
K2-53 b,450,7.27 Earths,12.634,2016
K2-54 b,571,1.6 Earths,14.542,2016
K2-55 b,520,14 Earths,13.519,2016
K2-57 b,862,5.06 Earths,14.414,2016
K2-58 b,593,7.65 Earths,12.415,2016
K2-58 c,593,3.26 Earths,12.415,2016
K2-58 d,593,3.57 Earths,12.415,2016
K2-59 b,1016,6.39 Earths,14.266,2016
K2-59 c,1016,5.9 Earths,14.266,2016
K2-5 b,662,4.31 Earths,14.974,2015
K2-5 c,662,5.73 Earths,14.974,2015
K2-60 b,1604,0.426 Jupiters,12.857,2016
K2-61 b,1323,6.71 Earths,13.173,2016
K2-62 b,367,5.22 Earths,12.391,2016
K2-62 c,367,5.22 Earths,12.391,2016
K2-63 b,1688,10.5 Earths,12.98,2016
K2-63 c,1688,14.5 Earths,12.98,2016
K2-64 b,1631,4.94 Earths,14.132,2016
K2-65 b,236,3.12 Earths,10.71,2016
K2-66 b,1676,21.3 Earths,11.71,2016
K2-68 b,550,3.12 Earths,12.987,2016
K2-69 b,589,5.99 Earths,16.024,2016
K2-6 b,1033,6.8 Earths,12.66,2015
K2-70 b,760,8.7 Earths,13.074,2016
K2-71 b,500,5.27 Earths,16.14,2016
K2-72 b,217,1.28 Earths,15.37,2016
K2-72 c,217,1.65 Earths,15.37,2016
K2-72 d,217,1.01 Earths,15.37,2016
K2-72 e,217,2.21 Earths,15.37,2016
K2-73 b,878,6.57 Earths,11.345,2016
K2-74 b,1232,5.95 Earths,12.715,2016
K2-75 b,1833,7.61 Earths,12.803,2016
K2-75 c,1833,8.1 Earths,12.803,2016
K2-77 b,462,1.9 Jupiters,12.224,2016
K2-79 b,835,13.2 Earths,12.152,2016
K2-7 b,2409,7.61 Earths,13.453,2015
K2-80 b,655,4.7 Earths,12.694,2016
K2-80 c,655,2.76 Earths,12.694,2016
K2-80 d,655,7.04 Earths,12.694,2018
K2-81 b,823,4.54 Earths,14.314,2016
K2-83 b,409,2.08 Earths,14.522,2016
K2-83 c,409,2.8 Earths,14.522,2016
K2-84 b,929,6.39 Earths,13.386,2016
K2-84 c,929,4.78 Earths,13.386,2016
K2-85 b,317,1.01 Earths,12.416,2016
K2-86 b,844,4.5 Earths,13.041,2016
K2-87 b,1602,0.141 Jupiters,14.136,2016
K2-88 b,361,2.04 Earths,15.523,2016
K2-70 b,760,8.7 Earths,13.074,2016
K2-71 b,500,5.27 Earths,16.14,2016
K2-72 b,217,1.28 Earths,15.37,2016
K2-72 c,217,1.65 Earths,15.37,2016
K2-72 d,217,1.01 Earths,15.37,2016
K2-72 e,217,2.21 Earths,15.37,2016
K2-73 b,878,6.57 Earths,11.345,2016
K2-74 b,1232,5.95 Earths,12.715,2016
K2-75 b,1833,7.61 Earths,12.803,2016
K2-75 c,1833,8.1 Earths,12.803,2016
K2-77 b,462,1.9 Jupiters,12.224,2016
K2-79 b,835,13.2 Earths,12.152,2016
K2-7 b,2409,7.61 Earths,13.453,2015
K2-80 b,655,4.7 Earths,12.694,2016
K2-80 c,655,2.76 Earths,12.694,2016
K2-80 d,655,7.04 Earths,12.694,2018
K2-81 b,823,4.54 Earths,14.314,2016
K2-83 b,409,2.08 Earths,14.522,2016
K2-83 c,409,2.8 Earths,14.522,2016
K2-84 b,929,6.39 Earths,13.386,2016
K2-84 c,929,4.78 Earths,13.386,2016
K2-85 b,317,1.01 Earths,12.416,2016
K2-86 b,844,4.5 Earths,13.041,2016
K2-87 b,1602,0.141 Jupiters,14.136,2016
K2-88 b,361,2.04 Earths,15.523,2016
K2-70 b,760,8.7 Earths,13.074,2016
K2-71 b,500,5.27 Earths,16.14,2016
K2-72 b,217,1.28 Earths,15.37,2016
K2-72 c,217,1.65 Earths,15.37,2016
K2-72 d,217,1.01 Earths,15.37,2016
K2-72 e,217,2.21 Earths,15.37,2016
K2-73 b,878,6.57 Earths,11.345,2016
K2-74 b,1232,5.95 Earths,12.715,2016
K2-75 b,1833,7.61 Earths,12.803,2016
K2-75 c,1833,8.1 Earths,12.803,2016
K2-77 b,462,1.9 Jupiters,12.224,2016
K2-79 b,835,13.2 Earths,12.152,2016
K2-7 b,2409,7.61 Earths,13.453,2015
K2-80 b,655,4.7 Earths,12.694,2016
K2-80 c,655,2.76 Earths,12.694,2016
K2-80 d,655,7.04 Earths,12.694,2018
K2-81 b,823,4.54 Earths,14.314,2016
K2-83 b,409,2.08 Earths,14.522,2016
K2-83 c,409,2.8 Earths,14.522,2016
K2-84 b,929,6.39 Earths,13.386,2016
K2-84 c,929,4.78 Earths,13.386,2016
K2-85 b,317,1.01 Earths,12.416,2016
K2-86 b,844,4.5 Earths,13.041,2016
K2-87 b,1602,0.141 Jupiters,14.136,2016
K2-88 b,361,2.04 Earths,15.523,2016
K2-70 b,760,8.7 Earths,13.074,2016
K2-71 b,500,5.27 Earths,16.14,2016
K2-72 b,217,1.28 Earths,15.37,2016
K2-72 c,217,1.65 Earths,15.37,2016
K2-72 d,217,1.01 Earths,15.37,2016
K2-72 e,217,2.21 Earths,15.37,2016
K2-73 b,878,6.57 Earths,11.345,2016
K2-74 b,1232,5.95 Earths,12.715,2016
K2-75 b,1833,7.61 Earths,12.803,2016
K2-75 c,1833,8.1 Earths,12.803,2016
K2-77 b,462,1.9 Jupiters,12.224,2016
K2-79 b,835,13.2 Earths,12.152,2016
K2-7 b,2409,7.61 Earths,13.453,2015
K2-80 b,655,4.7 Earths,12.694,2016
K2-80 c,655,2.76 Earths,12.694,2016
K2-80 d,655,7.04 Earths,12.694,2018
K2-81 b,823,4.54 Earths,14.314,2016
K2-83 b,409,2.08 Earths,14.522,2016
K2-83 c,409,2.8 Earths,14.522,2016
K2-84 b,929,6.39 Earths,13.386,2016
K2-84 c,929,4.78 Earths,13.386,2016
K2-85 b,317,1.01 Earths,12.416,2016
K2-86 b,844,4.5 Earths,13.041,2016
K2-87 b,1602,0.141 Jupiters,14.136,2016
K2-88 b,361,2.04 Earths,15.523,2016
K2-70 b,760,8.7 Earths,13.074,2016
K2-71 b,500,5.27 Earths,16.14,2016
K2-72 b,217,1.28 Earths,15.37,2016
K2-72 c,217,1.65 Earths,15.37,2016
K2-72 d,217,1.01 Earths,15.37,2016
K2-72 e,217,2.21 Earths,15.37,2016
K2-73 b,878,6.57 Earths,11.345,2016
K2-74 b,1232,5.95 Earths,12.715,2016
K2-75 b,1833,7.61 Earths,12.803,2016
K2-75 c,1833,8.1 Earths,12.803,2016
K2-77 b,462,1.9 Jupiters,12.224,2016
K2-79 b,835,13.2 Earths,12.152,2016
K2-7 b,2409,7.61 Earths,13.453,2015
K2-80 b,655,4.7 Earths,12.694,2016
K2-80 c,655,2.76 Earths,12.694,2016
K2-80 d,655,7.04 Earths,12.694,2018
K2-81 b,823,4.54 Earths,14.314,2016
K2-83 b,409,2.08 Earths,14.522,2016
K2-83 c,409,2.8 Earths,14.522,2016
K2-84 b,929,6.39 Earths,13.386,2016
K2-84 c,929,4.78 Earths,13.386,2016
K2-85 b,317,1.01 Earths,12.416,2016
K2-86 b,844,4.5 Earths,13.041,2016
K2-87 b,1602,0.141 Jupiters,14.136,2016
K2-88 b,361,2.04 Earths,15.523,2016
K2-70 b,760,8.7 Earths,13.074,2016
K2-71 b,500,5.27 Earths,16.14,2016
K2-72 b,217,1.28 Earths,15.37,2016
K2-72 c,217,1.65 Earths,15.37,2016
K2-72 d,217,1.01 Earths,15.37,2016
K2-72 e,217,2.21 Earths,15.37,2016
K2-73 b,878,6.57 Earths,11.345,2016
K2-74 b,1232,5.95 Earths,12.715,2016
K2-75 b,1833,7.61 Earths,12.803,2016
K2-75 c,1833,8.1 Earths,12.803,2016
K2-77 b,462,1.9 Jupiters,12.224,2016
K2-79 b,835,13.2 Earths,12.152,2016
K2-7 b,2409,7.61 Earths,13.453,2015
K2-80 b,655,4.7 Earths,12.694,2016
K2-80 c,655,2.76 Earths,12.694,2016
K2-80 d,655,7.04 Earths,12.694,2018
K2-81 b,823,4.54 Earths,14.314,2016
K2-83 b,409,2.08 Earths,14.522,2016
K2-83 c,409,2.8 Earths,14.522,2016
K2-84 b,929,6.39 Earths,13.386,2016
K2-84 c,929,4.78 Earths,13.386,2016
K2-85 b,317,1.01 Earths,12.416,2016
K2-86 b,844,4.5 Earths,13.041,2016
K2-87 b,1602,0.141 Jupiters,14.136,2016
K2-88 b,361,2.04 Earths,15.523,2016
K2-70 b,760,8.7 Earths,13.074,2016
K2-71 b,500,5.27 Earths,16.14,2016
K2-72 b,217,1.28 Earths,15.37,2016
K2-72 c,217,1.65 Earths,15.37,2016
K2-72 d,217,1.01 Earths,15.37,2016
K2-72 e,217,2.21 Earths,15.37,2016
K2-73 b,878,6.57 Earths,11.345,2016
K2-74 b,1232,5.95 Earths,12.715,2016
K2-75 b,1833,7.61 Earths,12.803,2016
K2-75 c,1833,8.1 Earths,12.803,2016
K2-77 b,462,1.9 Jupiters,12.224,2016
K2-79 b,835,13.2 Earths,12.152,2016
K2-7 b,2409,7.61 Earths,13.453,2015
K2-80 b,655,4.7 Earths,12.694,2016
K2-80 c,655,2.76 Earths,12.694,2016
K2-80 d,655,7.04 Earths,12.694,2018
K2-81 b,823,4.54 Earths,14.314,2016
K2-83 b,409,2.08 Earths,14.522,2016
K2-83 c,409,2.8 Earths,14.522,2016
K2-84 b,929,6.39 Earths,13.386,2016
K2-84 c,929,4.78 Earths,13.386,2016
K2-85 b,317,1.01 Earths,12.416,2016
K2-86 b,844,4.5 Earths,13.041,2016
K2-87 b,1602,0.141 Jupiters,14.136,2016
K2-88 b,361,2.04 Earths,15.523,2016
K2-70 b,760,8.7 Earths,13.074,2016
K2-71 b,500,5.27 Earths,16.14,2016
K2-72 b,217,1.28 Earths,15.37,2016
K2-72 c,217,1.65 Earths,15.37,2016
K2-72 d,217,1.01 Earths,15.37,2016
K2-72 e,217,2.21 Earths,15.37,2016
K2-73 b,878,6.57 Earths,11.345,2016
K2-74 b,1232,5.95 Earths,12.715,2016
K2-75 b,1833,7.61 Earths,12.803,2016
K2-75 c,1833,8.1 Earths,12.803,2016
K2-77 b,462,1.9 Jupiters,12.224,2016
K2-79 b,835,13.2 Earths,12.152,2016
K2-7 b,2409,7.61 Earths,13.453,2015
K2-80 b,655,4.7 Earths,12.694,2016
K2-80 c,655,2.76 Earths,12.694,2016
K2-80 d,655,7.04 Earths,12.694,2018
K2-81 b,823,4.54 Earths,14.314,2016
K2-83 b,409,2.08 Earths,14.522,2016
K2-83 c,409,2.8 Earths,14.522,2016
K2-84 b,929,6.39 Earths,13.386,2016
K2-84 c,929,4.78 Earths,13.386,2016
K2-85 b,317,1.01 Earths,12.416,2016
K2-86 b,844,4.5 Earths,13.041,2016
K2-87 b,1602,0.141 Jupiters,14.136,2016
K2-88 b,361,2.04 Earths,15.523,2016
K2-70 b,760,8.7 Earths,13.074,2016
K2-71 b,500,5.27 Earths,16.14,2016
K2-72 b,217,1.28 Earths,15.37,2016
K2-72 c,217,1.65 Earths,15.37,2016
K2-72 d,217,1.01 Earths,15.37,2016
K2-72 e,217,2.21 Earths,15.37,2016
K2-73 b,878,6.57 Earths,11.345,2016
K2-74 b,1232,5.95 Earths,12.715,2016
K2-75 b,1833,7.61 Earths,12.803,2016
K2-75 c,1833,8.1 Earths,12.803,2016
K2-77 b,462,1.9 Jupiters,12.224,2016
K2-79 b,835,13.2 Earths,12.152,2016
K2-7 b,2409,7.61 Earths,13.453,2015
K2-80 b,655,4.7 Earths,12.694,2016
K2-80 c,655,2.76 Earths,12.694,2016
K2-80 d,655,7.04 Earths,12.694,2018
K2-81 b,823,4.54 Earths,14.314,2016
K2-83 b,409,2.08 Earths,14.522,2016
K2-83 c,409,2.8 Earths,14.522,2016
K2-84 b,929,6.39 Earths,13.386,2016
K2-84 c,929,4.78 Earths,13.386,2016
K2-85 b,317,1.01 Earths,12.416,2016
K2-86 b,844,4.5 Earths,13.041,2016
K2-87 b,1602,0.141 Jupiters,14.136,2016
K2-88 b,361,2.04 Earths,15.523,2016
K2-70 b,760,8.7 Earths,13.074,2016
K2-71 b,500,5.27 Earths,16.14,2016
K2-72 b,217,1.28 Earths,15.37,2016
K2-72 c,217,1.65 Earths,15.37,2016
K2-72 d,217,1.01 Earths,15.37,2016
K2-72 e,217,2.21 Earths,15.37,2016
K2-73 b,878,6.57 Earths,11.345,2016
K2-74 b,1232,5.95 Earths,12.715,2016
K2-75 b,1833,7.61 Earths,12.803,2016
K2-75 c,1833,8.1 Earths,12.803,2016
K2-77 b,462,1.9 Jupiters,12.224,2016
K2-79 b,835,13.2 Earths,12.152,2016
K2-7 b,2409,7.61 Earths,13.453,2015
K2-80 b,655,4.7 Earths,12.694,2016
K2-80 c,655,2.76 Earths,12.694,2016
K2-80 d,655,7.04 Earths,12.694,2018
K2-81 b,823,4.54 Earths,14.314,2016
K2-83 b,409,2.08 Earths,14.522,2016
K2-83 c,409,2.8 Earths,14.522,2016
K2-84 b,929,6.39 Earths,13.386,2016
K2-84 c,929,4.78 Earths,13.386,2016
K2-85 b,317,1.01 Earths,12.416,2016
K2-86 b,844,4.5 Earths,13.041,2016
K2-87 b,1602,0.141 Jupiters,14.136,2016
K2-88 b,361,2.04 Earths,15.523,2016
K2-70 b,760,8.7 Earths,13.074,2016
K2-71 b,500,5.27 Earths,16.14,2016
K2-72 b,217,1.28 Earths,15.37,2016
K2-72 c,217,1.65 Earths,15.37,2016
K2-72 d,217,1.01 Earths,15.37,2016
K2-72 e,217,2.21 Earths,15.37,2016
K2-73 b,878,6.57 Earths,11.345,2016
K2-74 b,1232,5.95 Earths,12.715,2016
K2-75 b,1833,7.61 Earths,12.803,2016
K2-75 c,1833,8.1 Earths,12.803,2016
K2-77 b,462,1.9 Jupiters,12.224,2016
K2-79 b,835,13.2 Earths,12.152,2016
K2-7 b,2409,7.61 Earths,13.453,2015
K2-80 b,655,4.7 Earths,12.694,2016
K2-80 c,655,2.76 Earths,12.694,2016
K2-80 d,655,7.04 Earths,12.694,2018
K2-81 b,823,4.54 Earths,14.314,2016
K2-83 b,409,2.08 Earths,14.522,2016
K2-83 c,409,2.8 Earths,14.522,2016
K2-84 b,929,6.39 Earths,13.386,2016
K2-84 c,929,4.78 Earths,13.386,2016
K2-85 b,317,1.01 Earths,12.416,2016
K2-86 b,844,4.5 Earths,13.041,2016
K2-87 b,1602,0.141 Jupiters,14.136,2016
K2-88 b,361,2.04 Earths,15.523,2016
K2-70 b,760,8.7 Earths,13.074,2016
K2-71 b,500,5.27 Earths,16.14,2016
K2-72 b,217,1.28 Earths,15.37,2016
K2-72 c,217,1.65 Earths,15.37,2016
K2-72 d,217,1.01 Earths,15.37,2016
K2-72 e,217,2.21 Earths,15.37,2016
K2-73 b,878,6.57 Earths,11.345,2016
K2-74 b,1232,5.95 Earths,12.715,2016
